COUNTY,SINGLE,ONECHILD,TWOCHILD
Barnstable,25706,58213,65616
Berkshire,23571,53376,60780
Bristol,24431,55167,62570
Dukes,26951,59389,66792
Essex,29256,62827,70231
Franklin,23614,53741,61145
Hampden,23737,55710,63114
Hampshire,23737,55710,63114
Middlesex,29547,63144,70547
Nantucket,27525,59170,66573
Norfolk,30299,64119,71523
Plymouth,27869,60601,68004
Suffolk,30479,64380,71783
Worcester,24217,55714,63118
